jj	Sesso	gem	disoccupati	dis1564
2000	F	111	14.738728217	14.738728217
2000	F	112	7.5855394883	7.5855394883
2000	F	113	6.8931003584	6.8931003584
2000	F	114	5.4981182796	5.4981182796
2000	F	115	53.931670992	53.931670992
2000	F	116	8.6346774194	8.6346774194
2000	F	117	7.2827956989	7.2827956989
2000	F	118	4.9607125201	4.9607125201
2000	M	1	1.8341830429	1.8341830429
2000	M	2	2.4277592387	2.4277592387
2000	M	3	0.8233778272	0.8233778272
2000	M	4	32.820189099	32.820189099
2000	M	5	3.988990854	3.988990854
2000	M	6	24.645878136	24.645878136
2000	M	7	4.374916574	4.374916574
2000	M	8	449.84209925	447.89487702
2000	M	9	1.7551075269	1.7551075269
2000	M	10	10.64538067	10.64538067
2000	M	11	56.144784328	56.144784328
2000	M	12	6.4553392659	6.4553392659
2000	M	13	53.854078606	53.854078606
2000	M	14	0.6555555556	0.6555555556
2000	M	15	19.64600173	19.64600173
2000	M	16	6.0324898035	6.0324898035
2000	M	17	21.9182703	21.584936967
2000	M	18	3.5477598566	3.5477598566
2000	M	19	30.13192436	30.13192436
2000	M	20	3.2422012112	3.2422012112
2000	M	21	8.1814114448	8.1814114448
2000	M	22	11.276297738	11.276297738
2000	M	23	5.2896706217	5.2896706217
2000	M	24	6.4164750958	6.3720306513
2000	M	25	0.5034946237	0.5034946237
2000	M	26	12.596057348	12.596057348
2000	M	27	11.369135459	11.369135459
2000	M	28	16.985592016	16.985592016
2000	M	29	8.2623161538	8.2623161538
2000	M	30	3.7840996169	3.7840996169
2000	M	31	14.220550612	14.220550612
2000	M	32	3.5454795452	3.5454795452
2000	M	33	5.5246075887	5.5246075887
2000	M	34	9.0565412186	9.0565412186
2000	M	35	2.9681806946	2.9681806946
2000	M	36	3.8649981461	3.8649981461
2000	M	37	15.699236806	15.696548634
2000	M	38	17.341101224	17.341101224
2000	M	39	5.3900444939	5.3900444939
2000	M	40	42.560626004	42.560626004
2000	M	41	31.763545915	31.763545915
2000	M	42	10.410727969	10.410727969
2000	M	43	1.2581541219	1.2581541219
2000	M	44	1.4604313435	1.4604313435
2000	M	45	2.2859318996	2.2859318996
2000	M	46	20.318029292	20.318029292
2000	M	47	11.333537264	11.333537264
2000	M	48	7.633592881	7.633592881
2000	M	49	5.2819892473	5.2819892473
2000	M	50	1.5785842294	1.5785842294
2000	M	51	214.79388518	214.54388518
2000	M	52	7.8052434804	7.8052434804
2000	M	53	4.2423062662	4.2423062662
2000	M	54	21.023569398	21.023569398
2000	M	55	4.8887343962	4.4720677296
2000	M	56	27.677561488	27.677561488
2000	M	57	1.78025275	1.78025275
2000	M	58	9.7061179088	9.7061179088
2000	M	59	12.204659498	12.204659498
2000	M	60	9.6297027561	9.6297027561
2000	M	61	15.722942158	15.667386602
2000	M	62	10.809556915	10.809556915
2000	M	63	6.6931374367	6.6931374367
2000	M	64	2.8062724014	2.8062724014
2000	M	66	2.8599431467	2.8599431467
2000	M	67	17.632313682	17.632313682
2000	M	68	5.429369052	5.429369052
2000	M	69	0.3742831541	0.3742831541
2000	M	70	16.717269188	16.717269188
2000	M	71	10.843637993	10.843637993
2000	M	72	20.424456186	20.424456186
2000	M	73	8.2219997528	8.2219997528
2000	M	74	10.621681498	10.621681498
2000	M	75	2.4621863799	2.4621863799
2000	M	76	9.0442157953	9.0442157953
2000	M	77	15.083704116	15.083704116
2000	M	79	4.418591645	4.418591645
2000	M	80	27.232888395	27.232888395
2000	M	81	8.8218885181	8.8218885181
2000	M	82	8.035799036	8.035799036
2000	M	83	18.876637622	18.876637622
2000	M	84	5.1729637869	5.1729637869
2000	M	85	7.7985168706	7.7985168706
2000	M	86	24.1813033	24.1813033
2000	M	87	16.380030281	16.380030281
2000	M	88	7.5451427512	7.5451427512
2000	M	89	13.674901125	13.674901125
2000	M	91	7.1423835125	7.1423835125
2000	M	92	18.834902979	18.635978247
2000	M	93	16.342936596	16.340248424
2000	M	94	4.4086299592	4.4086299592
2000	M	95	6.264874552	6.264874552
2000	M	96	6.572373625	6.572373625
2000	M	97	9.2967309356	9.2967309356
2000	M	98	5.4573476703	5.4573476703
2000	M	99	4.2957421827	4.2957421827
2000	M	100	2.1063620072	1.8563620072
2000	M	101	14.334263379	14.334263379
2000	M	102	3.3251761216	3.3251761216
2000	M	103	3.7815257694	3.7815257694
2000	M	104	16.737347052	16.737347052
2000	M	105	2.1009794834	2.1009794834
2000	M	106	12.21176307	12.21176307
2000	M	107	9.321953405	9.321953405
2000	M	108	25.826164875	25.826164875
2000	M	109	10.518007663	10.518007663
2000	M	110	4.0771876159	4.0771876159
2000	M	111	14.457239525	14.457239525
2000	M	112	1.3168829564	1.3168829564
2000	M	113	5.569642195	5.569642195
2000	M	114	2.341030157	2.341030157
2000	M	115	33.93360833	33.93360833
2000	M	116	5.6753707824	5.6753707824
2000	M	117	3.2722222222	3.2722222222
2000	M	118	4.7961654925	4.7961654925
2001	F	1	6.9128968254	6.9128968254
2001	F	2	3.9500896057	3.9500896057
2001	F	3	1.119937276	1.119937276
2001	F	4	39.168548387	39.168548387
2001	F	5	4.9210637481	4.9210637481
2001	F	6	21.28296211	21.28296211
2001	F	7	6.4249103943	6.4249103943
2001	F	8	462.91189196	462.35911418
2001	F	9	1.017562724	1.017562724
2001	F	10	11.686130312	11.686130312
